Date,Bar Name,Brand Name,Category,Total_Purchased_ml,Total_Consumed_ml,Total_Requested_ml,Potential_Lost_Demand_ml,Last_Closing_Balance_ml
2026-01-01,Garden Bar,Bacardi White,Rum,0,2097,2097,0,7653
2026-01-01,Garden Bar,Baileys,Liqueur,0,653,653,0,6097
2026-01-01,Garden Bar,Bombay Sapphire,Gin,0,1768,1768,0,10982
2026-01-01,Garden Bar,Heineken,Beer,0,4447,4447,0,5303
2026-01-01,Garden Bar,Hennessy,Brandy,0,425,425,0,11815
2026-01-01,Garden Bar,Jack Daniel's,Whisky,0,1538,1538,0,6712
2026-01-01,Garden Bar,Johnnie Walker Red,Whisky,0,3201,3201,0,4153
2026-01-01,Garden Bar,Jose Cuervo,Tequila,0,1014,1014,0,13597
2026-01-01,Garden Bar,Kingfisher Premium,Beer,8450,5405,5405,0,10195
2026-01-01,Garden Bar,Smirnoff Vodka,Vodka,0,2402,2402,0,7535
2026-01-01,Lobby Bar,Bacardi White,Rum,0,2251,2251,0,7144
2026-01-01,Lobby Bar,Baileys,Liqueur,0,762,762,0,7736
2026-01-01,Lobby Bar,Bombay Sapphire,Gin,0,1687,1687,0,8813
2026-01-01,Lobby Bar,Heineken,Beer,0,6132,6132,0,10841
2026-01-01,Lobby Bar,Hennessy,Brandy,0,445,445,0,14255
2026-01-01,Lobby Bar,Jack Daniel's,Whisky,0,1245,1245,0,10755
2026-01-01,Lobby Bar,Johnnie Walker Red,Whisky,0,2655,2655,0,4845
2026-01-01,Lobby Bar,Jose Cuervo,Tequila,0,1343,1343,0,9682
2026-01-01,Lobby Bar,Kingfisher Premium,Beer,0,9146,9146,0,9566
2026-01-01,Lobby Bar,Smirnoff Vodka,Vodka,0,3547,3547,0,12581
2026-01-01,Pool Bar,Bacardi White,Rum,0,2577,2577,0,3423
2026-01-01,Pool Bar,Baileys,Liqueur,0,783,783,0,12013
2026-01-01,Pool Bar,Bombay Sapphire,Gin,0,2210,2210,0,12040
2026-01-01,Pool Bar,Heineken,Beer,0,7794,7794,0,9139
2026-01-01,Pool Bar,Hennessy,Brandy,0,703,703,0,15397
2026-01-01,Pool Bar,Jack Daniel's,Whisky,0,1709,1709,0,13094
2026-01-01,Pool Bar,Johnnie Walker Red,Whisky,0,2779,2779,0,3971
