Date Time Served,Bar Name,Brand Name,Category,Bottle Size (ml),Opening Balance (ml),Purchase (ml),Consumed (ml),Closing Balance (ml),Requested Demand (ml),Potential Lost Demand (ml),Date,Day of Week,Conservation Check
2026-01-01 17:10:00,Garden Bar,Bacardi White,Rum,750,9750,0,1080,8670,1080,0,2026-01-01,Thursday,True
2026-01-01 18:36:00,Garden Bar,Bacardi White,Rum,750,8670,0,1017,7653,1017,0,2026-01-01,Thursday,True
2026-01-02 19:17:00,Garden Bar,Bacardi White,Rum,750,7204,0,2539,4665,2539,0,2026-01-02,Friday,True
2026-01-02 19:29:00,Garden Bar,Bacardi White,Rum,750,7653,0,449,7204,449,0,2026-01-02,Friday,True
2026-01-03 15:47:00,Garden Bar,Bacardi White,Rum,750,4665,0,2185,2480,2185,0,2026-01-03,Saturday,True
2026-01-03 18:18:00,Garden Bar,Bacardi White,Rum,750,2480,0,671,1809,671,0,2026-01-03,Saturday,True
2026-01-04 11:48:00,Garden Bar,Bacardi White,Rum,750,1809,8250,595,9464,595,0,2026-01-04,Sunday,True
2026-01-04 12:42:00,Garden Bar,Bacardi White,Rum,750,9464,0,61,9403,61,0,2026-01-04,Sunday,True
2026-01-04 13:34:00,Garden Bar,Bacardi White,Rum,750,9403,0,392,9011,392,0,2026-01-04,Sunday,True
2026-01-04 23:57:00,Garden Bar,Bacardi White,Rum,750,9011,0,364,8647,364,0,2026-01-04,Sunday,True
2026-01-05 11:37:00,Garden Bar,Bacardi White,Rum,750,8647,0,940,7707,940,0,2026-01-05,Monday,True
2026-01-05 22:50:00,Garden Bar,Bacardi White,Rum,750,7707,0,1058,6649,1058,0,2026-01-05,Monday,True
2026-01-06 14:25:00,Garden Bar,Bacardi White,Rum,750,6523,0,432,6091,432,0,2026-01-06,Tuesday,True
2026-01-06 20:33:00,Garden Bar,Bacardi White,Rum,750,6091,0,1492,4599,1492,0,2026-01-06,Tuesday,True
2026-01-06 22:48:00,Garden Bar,Bacardi White,Rum,750,6649,0,126,6523,126,0,2026-01-06,Tuesday,True
2026-01-07 10:27:00,Garden Bar,Bacardi White,Rum,750,3628,0,378,3250,378,0,2026-01-07,Wednesday,True
2026-01-07 18:11:00,Garden Bar,Bacardi White,Rum,750,3250,0,590,2660,590,0,2026-01-07,Wednesday,True
2026-01-07 19:36:00,Garden Bar,Bacardi White,Rum,750,4599,0,971,3628,971,0,2026-01-07,Wednesday,True
2026-01-08 16:47:00,Garden Bar,Bacardi White,Rum,750,1914,0,792,1122,792,0,2026-01-08,Thursday,True
2026-01-08 18:18:00,Garden Bar,Bacardi White,Rum,750,1122,0,563,559,563,0,2026-01-08,Thursday,True
2026-01-08 19:55:00,Garden Bar,Bacardi White,Rum,750,2660,0,477,2183,477,0,2026-01-08,Thursday,True
2026-01-08 20:05:00,Garden Bar,Bacardi White,Rum,750,2183,0,269,1914,269,0,2026-01-08,Thursday,True
2026-01-09 19:07:00,Garden Bar,Bacardi White,Rum,750,559,0,559,0,2436,1877,2026-01-09,Friday,True
2026-01-09 20:23:00,Garden Bar,Bacardi White,Rum,750,0,0,0,0,1076,1076,2026-01-09,Friday,True
2026-01-10 15:17:00,Garden Bar,Bacardi White,Rum,750,0,0,0,0,1522,1522,2026-01-10,Saturday,True
2026-01-10 15:39:00,Garden Bar,Bacardi White,Rum,750,0,0,0,0,463,463,2026-01-10,Saturday,True
2026-01-10 22:22:00,Garden Bar,Bacardi White,Rum,750,0,0,0,0,765,765,2026-01-10,Saturday,True
2026-01-11 16:52:00,Garden Bar,Bacardi White,Rum,750,0,0,0,0,252,252,2026-01-11,Sunday,True
2026-01-11 22:10:00,Garden Bar,Bacardi White,Rum,750,0,0,0,0,2098,2098,2026-01-11,Sunday,True
2026-01-12 11:34:00,Garden Bar,Bacardi White,Rum,750,0,0,0,0,295,295,2026-01-12,Monday,True
2026-01-12 22:11:00,Garden Bar,Bacardi White,Rum,750,0,0,0,0,771,771,2026-01-12,Monday,True
2026-01-12 22:22:00,Garden Bar,Bacardi White,Rum,750,0,0,0,0,701,701,2026-01-12,Monday,True
2026-01-13 16:59:00,Garden Bar,Bacardi White,Rum,750,0,0,0,0,521,521,2026-01-13,Tuesday,True
2026-01-13 22:29:00,Garden Bar,Bacardi White,Rum,750,0,0,0,0,1454,1454,2026-01-13,Tuesday,True
2026-01-14 22:20:00,Garden Bar,Bacardi White,Rum,750,6835,0,1434,5401,1434,0,2026-01-14,Wednesday,True
2026-01-14 23:20:00,Garden Bar,Bacardi White,Rum,750,0,7500,665,6835,665,0,2026-01-14,Wednesday,True
2026-01-15 14:29:00,Garden Bar,Bacardi White,Rum,750,5071,0,284,4787,284,0,2026-01-15,Thursday,True
2026-01-15 18:21:00,Garden Bar,Bacardi White,Rum,750,4787,0,1186,3601,1186,0,2026-01-15,Thursday,True
2026-01-15 21:12:00,Garden Bar,Bacardi White,Rum,750,5401,0,330,5071,330,0,2026-01-15,Thursday,True
2026-01-16 12:03:00,Garden Bar,Bacardi White,Rum,750,2361,0,1099,1262,1099,0,2026-01-16,Friday,True
2026-01-16 14:33:00,Garden Bar,Bacardi White,Rum,750,2610,0,249,2361,249,0,2026-01-16,Friday,True
2026-01-16 20:15:00,Garden Bar,Bacardi White,Rum,750,3601,0,375,3226,375,0,2026-01-16,Friday,True
2026-01-16 23:04:00,Garden Bar,Bacardi White,Rum,750,1262,0,216,1046,216,0,2026-01-16,Friday,True
2026-01-16 23:34:00,Garden Bar,Bacardi White,Rum,750,3226,0,616,2610,616,0,2026-01-16,Friday,True
2026-01-17 10:45:00,Garden Bar,Bacardi White,Rum,750,0,0,0,0,1854,1854,2026-01-17,Saturday,True
2026-01-17 19:29:00,Garden Bar,Bacardi White,Rum,750,0,0,0,0,324,324,2026-01-17,Saturday,True
2026-01-17 19:48:00,Garden Bar,Bacardi White,Rum,750,1046,0,1046,0,1364,318,2026-01-17,Saturday,True
2026-01-18 17:19:00,Garden Bar,Bacardi White,Rum,750,0,0,0,0,609,609,2026-01-18,Sunday,True
2026-01-18 18:39:00,Garden Bar,Bacardi White,Rum,750,0,0,0,0,1191,1191,2026-01-18,Sunday,True
2026-01-18 20:31:00,Garden Bar,Bacardi White,Rum,750,0,0,0,0,422,422,2026-01-18,Sunday,True
2026-01-19 11:55:00,Garden Bar,Bacardi White,Rum,750,0,0,0,0,561,561,2026-01-19,Monday,True
2026-01-19 13:05:00,Garden Bar,Bacardi White,Rum,750,0,0,0,0,544,544,2026-01-19,Monday,True
2026-01-19 17:11:00,Garden Bar,Bacardi White,Rum,750,0,0,0,0,295,295,2026-01-19,Monday,True
2026-01-19 21:09:00,Garden Bar,Bacardi White,Rum,750,0,0,0,0,162,162,2026-01-19,Monday,True
2026-01-19 22:24:00,Garden Bar,Bacardi White,Rum,750,0,0,0,0,334,334,2026-01-19,Monday,True
2026-01-20 10:32:00,Garden Bar,Bacardi White,Rum,750,0,0,0,0,195,195,2026-01-20,Tuesday,True
2026-01-20 12:18:00,Garden Bar,Bacardi White,Rum,750,0,0,0,0,404,404,2026-01-20,Tuesday,True
2026-01-20 13:50:00,Garden Bar,Bacardi White,Rum,750,0,0,0,0,483,483,2026-01-20,Tuesday,True
2026-01-20 23:59:00,Garden Bar,Bacardi White,Rum,750,0,0,0,0,925,925,2026-01-20,Tuesday,True
2026-01-21 11:44:00,Garden Bar,Bacardi White,Rum,750,0,0,0,0,457,457,2026-01-21,Wednesday,True
2026-01-21 19:29:00,Garden Bar,Bacardi White,Rum,750,0,0,0,0,1705,1705,2026-01-21,Wednesday,True
2026-01-21 23:13:00,Garden Bar,Bacardi White,Rum,750,0,0,0,0,250,250,2026-01-21,Wednesday,True
2026-01-22 12:39:00,Garden Bar,Bacardi White,Rum,750,7148,0,1483,5665,1483,0,2026-01-22,Thursday,True
2026-01-22 21:36:00,Garden Bar,Bacardi White,Rum,750,0,7500,352,7148,352,0,2026-01-22,Thursday,True
2026-01-22 22:27:00,Garden Bar,Bacardi White,Rum,750,5665,0,401,5264,401,0,2026-01-22,Thursday,True
2026-01-23 18:11:00,Garden Bar,Bacardi White,Rum,750,3511,0,1186,2325,1186,0,2026-01-23,Friday,True
2026-01-23 19:00:00,Garden Bar,Bacardi White,Rum,750,5264,0,849,4415,849,0,2026-01-23,Friday,True
2026-01-23 22:45:00,Garden Bar,Bacardi White,Rum,750,4415,0,904,3511,904,0,2026-01-23,Friday,True
2026-01-24 10:20:00,Garden Bar,Bacardi White,Rum,750,2325,0,411,1914,411,0,2026-01-24,Saturday,True
2026-01-24 16:51:00,Garden Bar,Bacardi White,Rum,750,1914,0,933,981,933,0,2026-01-24,Saturday,True
2026-01-24 19:02:00,Garden Bar,Bacardi White,Rum,750,580,0,580,0,1335,755,2026-01-24,Saturday,True
2026-01-24 21:52:00,Garden Bar,Bacardi White,Rum,750,981,0,401,580,401,0,2026-01-24,Saturday,True
2026-01-25 12:45:00,Garden Bar,Bacardi White,Rum,750,0,0,0,0,1215,1215,2026-01-25,Sunday,True
2026-01-25 12:49:00,Garden Bar,Bacardi White,Rum,750,0,0,0,0,701,701,2026-01-25,Sunday,True
2026-01-25 14:56:00,Garden Bar,Bacardi White,Rum,750,0,0,0,0,425,425,2026-01-25,Sunday,True
2026-01-25 19:31:00,Garden Bar,Bacardi White,Rum,750,0,0,0,0,730,730,2026-01-25,Sunday,True
2026-01-26 12:40:00,Garden Bar,Bacardi White,Rum,750,0,0,0,0,702,702,2026-01-26,Monday,True
2026-01-26 18:53:00,Garden Bar,Bacardi White,Rum,750,0,0,0,0,1074,1074,2026-01-26,Monday,True
2026-01-27 13:36:00,Garden Bar,Bacardi White,Rum,750,0,0,0,0,843,843,2026-01-27,Tuesday,True
2026-01-27 22:14:00,Garden Bar,Bacardi White,Rum,750,0,0,0,0,990,990,2026-01-27,Tuesday,True
2026-01-28 11:54:00,Garden Bar,Bacardi White,Rum,750,0,0,0,0,802,802,2026-01-28,Wednesday,True
2026-01-28 14:27:00,Garden Bar,Bacardi White,Rum,750,0,0,0,0,924,924,2026-01-28,Wednesday,True
2026-01-28 21:20:00,Garden Bar,Bacardi White,Rum,750,0,0,0,0,294,294,2026-01-28,Wednesday,True
2026-01-29 19:23:00,Garden Bar,Bacardi White,Rum,750,0,0,0,0,566,566,2026-01-29,Thursday,True
2026-01-29 19:25:00,Garden Bar,Bacardi White,Rum,750,0,0,0,0,1058,1058,2026-01-29,Thursday,True
2026-01-29 22:14:00,Garden Bar,Bacardi White,Rum,750,0,0,0,0,328,328,2026-01-29,Thursday,True
2026-01-30 18:03:00,Garden Bar,Bacardi White,Rum,750,0,0,0,0,1441,1441,2026-01-30,Friday,True
2026-01-30 20:53:00,Garden Bar,Bacardi White,Rum,750,0,0,0,0,1071,1071,2026-01-30,Friday,True
2026-01-30 22:18:00,Garden Bar,Bacardi White,Rum,750,0,0,0,0,971,971,2026-01-30,Friday,True
2026-01-31 18:09:00,Garden Bar,Bacardi White,Rum,750,8425,0,2488,5937,2488,0,2026-01-31,Saturday,True
2026-01-31 18:32:00,Garden Bar,Bacardi White,Rum,750,0,9000,575,8425,575,0,2026-01-31,Saturday,True
2026-02-01 20:07:00,Garden Bar,Bacardi White,Rum,750,5937,0,1450,4487,1450,0,2026-02-01,Sunday,True
